Id,Nama Propinsi
1,ACEH
2,BALI
3,BANTEN
4,BENGKULU
5,DAERAH ISTIMEWA YOGYAKARTA
6,DKI JAKARTA
7,JAMBI
8,JAWA BARAT
9,JAWA TENGAH
10,JAWA TIMUR
11,KALIMANTAN BARAT
12,KALIMANTAN SELATAN
13,KALIMANTAN TENGAH
14,KALIMANTAN TIMUR
15,KALIMANTAN UTARA
16,KEPULAUAN BANGKA BELITUNG
17,KEPULAUAN RIAU
18,LAMPUNG
19,MALUKU
20,MALUKU UTARA
21,NUSA TENGGARA BARAT
22,NUSA TENGGARA TIMUR
23,PAPUA
24,PAPUA BARAT
25,RIAU
26,SULAWESI BARAT
27,SULAWESI SELATAN
28,SULAWESI TENGAH
29,SULAWESI TENGGARA
30,SULAWESI UTARA
31,SUMATERA BARAT
32,SUMATERA SELATAN
33,SUMATERA UTARA
